slide_width_pt,slide_height_pt,slide_index,shape_id,shape_name,shape_type,left_pt,top_pt,width_pt,height_pt,left_pct,top_pct,width_pct,height_pct,rotation_deg,fill_hex,fill_transparency,line_hex,line_weight_pt,line_transparency,zorder,rounded_radius_pct
960.0000,540.0000,1,94,Rectangle 93,AutoShape,673.9314,194.8762,16.9861,7.4194,0.7020,0.3609,0.0177,0.0137,152.295,#00B0F0,0.000,#042433,1.500,0.000,89,
960.0000,540.0000,1,95,Rectangle 94,AutoShape,689.2088,211.5891,16.9861,7.4194,0.7179,0.3918,0.0177,0.0137,235.049,#00B0F0,0.000,#042433,1.500,0.000,90,
960.0000,540.0000,1,96,Rectangle 95,AutoShape,592.2950,141.5413,16.9861,7.4194,0.6170,0.2621,0.0177,0.0137,150.470,#00B0F0,0.000,#042433,1.500,0.000,91,
960.0000,540.0000,1,97,Rectangle 96,AutoShape,599.5736,152.2025,16.9861,7.4194,0.6246,0.2819,0.0177,0.0137,150.470,#00B0F0,0.000,#042433,1.500,0.000,92,
960.0000,540.0000,1,98,Rectangle 97,AutoShape,606.4587,165.1109,16.9861,7.4194,0.6317,0.3058,0.0177,0.0137,150.470,#00B0F0,0.000,#042433,1.500,0.000,93,
960.0000,540.0000,1,99,Rectangle 98,AutoShape,614.3646,175.7388,16.9861,7.4194,0.6400,0.3254,0.0177,0.0137,150.470,#00B0F0,0.000,#042433,1.500,0.000,94,
960.0000,540.0000,1,100,Rectangle 99,AutoShape,621.2498,187.1988,16.9861,7.4194,0.6471,0.3467,0.0177,0.0137,150.470,#00B0F0,0.000,#042433,1.500,0.000,95,
960.0000,540.0000,1,101,Rectangle 100,AutoShape,629.7088,199.1709,16.9861,7.4194,0.6559,0.3688,0.0177,0.0137,150.470,#00B0F0,0.000,#042433,1.500,0.000,96,
960.0000,540.0000,1,102,Rectangle 101,AutoShape,638.1541,209.2179,16.9861,7.4194,0.6647,0.3874,0.0177,0.0137,150.470,#00B0F0,0.000,#042433,1.500,0.000,97,
960.0000,540.0000,1,103,Rectangle 102,AutoShape,580.2442,129.9008,16.9861,7.4194,0.6044,0.2406,0.0177,0.0137,129.223,#00B0F0,0.000,#042433,1.500,0.000,98,
960.0000,540.0000,1,104,Rectangle 103,AutoShape,562.7360,124.0156,16.9861,7.4194,0.5862,0.2297,0.0177,0.0137,105.249,#00B0F0,0.000,#042433,1.500,0.000,99,
960.0000,540.0000,1,105,Rectangle 104,AutoShape,548.4426,120.8165,16.0061,8.4417,0.5713,0.2237,0.0167,0.0156,101.236,#00B0F0,0.000,#042433,1.500,0.000,100,
960.0000,540.0000,1,106,Rectangle 105,AutoShape,533.5416,264.8012,15.3600,4.8000,0.5558,0.4904,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,101,
960.0000,540.0000,1,107,Rectangle 106,AutoShape,527.2997,277.0313,15.3600,4.8000,0.5493,0.5130,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,102,
960.0000,540.0000,1,108,Rectangle 107,AutoShape,520.6498,289.6553,15.3600,4.8000,0.5423,0.5364,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,103,
960.0000,540.0000,1,109,Rectangle 108,AutoShape,513.9573,302.8871,15.3600,4.8000,0.5354,0.5609,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,104,
